#	deviceModel: SM-R900	deviceOs: 11
1675316348762	2526729
1675316348802	2188857
1675316348843	2188680
1675316348884	2188579
1675316348923	2188603
1675316348963	2188710
1675316349003	2188891
1675316349043	2003083
1675316349084	2003256
1675316349123	2003418
1675316349163	2072551
1675316349203	2073047
1675316349243	2073213
1675316349284	2073000
1675316349323	2104882
1675316349363	2104587
1675316349403	2104404
1675316349444	2104505
1675316349485	2104781
1675316349524	2105009
1675316349564	2105196
1675316349604	2105438
1675316349644	2105853
1675316349685	2106275
1675316349724	2106687
1675316349764	2107128
1675316349804	2107534
1675316349845	2108030
1675316349886	2108940
1675316349925	2109506
1675316349965	2109782
1675316350005	2109620
1675316350045	2109285
1675316350086	2109139
1675316350125	2109066
1675316350165	2109112
1675316350206	2109239
1675316350246	2109417
1675316350287	2109587
1675316350326	2109860
1675316350366	2110154
1675316350406	2110518
1675316350446	2110892
1675316350487	2111280
1675316350526	2111697
1675316350566	2112129
1675316350606	2112524
1675316350646	2113024
1675316350688	2113413
1675316350727	2113404
1675316350767	2113128
1675316350807	2112910
1675316350847	2112793
1675316350888	2112814
1675316350927	2112907
1675316350967	2113019
1675316351007	2113180
1675316351048	2113352
1675316351089	2113577
1675316351128	2113845
1675316351168	2114150
1675316351208	2114518
1675316351248	2114892
1675316351289	2115321
1675316351328	2115699
1675316351368	2116082
1675316351408	2116486
1675316351448	2116736
1675316351490	2116605
1675316351529	2116338
1675316351569	2116196
1675316351609	2116098
1675316351649	2116123
1675316351690	2116224
1675316351729	2116342
1675316351769	2116491
1675316351809	2116626
1675316351849	2116815
1675316351891	2116949
1675316351930	2117073
1675316351970	2117313
1675316352010	2117652
1675316352050	2117986
1675316352091	2118307
1675316352130	2118641
1675316352170	2119002
1675316352210	2119144
1675316352251	2118922
1675316352291	2118636
1675316352331	2118418
1675316352371	2118316
1675316352411	2118297
1675316352451	2118358
1675316352492	2118393
1675316352531	2118447
1675316352571	2118570
1675316352611	2118728
1675316352651	2118944
1675316352692	2119199
1675316352732	2119444
1675316352772	2119694
1675316352812	2120002
1675316352852	2120246
1675316352893	2120561
1675316352932	2120798
1675316352972	2120743
1675316353012	2120431
1675316353052	2120210
1675316353094	2120123
1675316353133	2120108
1675316353173	2120138
1675316353213	2120203
1675316353253	2120250
1675316353294	2120339
1675316353333	2120476
1675316353373	2120657
1675316353413	2120856
1675316353453	2121143
1675316353494	2121462
1675316353534	2121764
1675316353574	2122073
1675316353614	2122346
1675316353654	2122650
1675316353695	2122857
1675316353734	2122751
1675316353774	2122381
1675316353814	2122083
1675316353854	2121916
1675316353895	2121792
1675316353935	2121686
1675316353975	2121614
1675316354015	2121596
1675316354055	2121613
1675316354096	2121723
1675316354135	2121861
1675316354175	2122039
1675316354215	2122199
1675316354255	2122401
1675316354297	2122573
1675316354336	2122807
1675316354376	2123053
1675316354416	2123331
1675316354456	2123644
1675316354497	2123687
1675316354536	2123414
1675316354576	2123108
1675316354616	2122903
1675316354657	2122826
1675316354697	2122742
1675316354737	2122671
1675316354777	2122635
1675316354817	2122578
1675316354857	2122548
1675316354898	2122551
1675316354937	2122612
1675316354977	2122673
1675316355017	2122799
1675316355057	2122927
1675316355098	2123091
1675316355138	2123280
1675316355178	2123431
1675316355218	2123630
1675316355258	2123737
1675316355299	2123433
1675316355338	2122908
1675316355378	2122435
1675316355418	2122121
1675316355458	2121924
1675316355499	2121778
1675316355538	2121623
1675316355579	2121451
1675316355619	2121308
1675316355659	2121221
1675316355700	2121270
1675316355739	2121286
1675316355779	2121373
1675316355819	2121508
1675316355859	2121669
1675316355900	2121872
1675316355939	2122099
1675316355980	2122331
1675316356020	2122517
1675316356060	2122353
1675316356101	2121845
1675316356140	2121319
1675316356180	2120934
1675316356220	2120696
1675316356260	2120630
1675316356301	2120510
1675316356340	2120451
1675316356380	2120336
1675316356420	2120298
1675316356461	2120344
1675316356502	2120457
1675316356541	2120600
1675316356581	2120761
1675316356621	2120977
1675316356661	2121238
1675316356702	2121442
1675316356741	2121697
1675316356781	2121959
1675316356822	2121917
1675316356862	2121474
1675316356903	2120998
1675316356942	2120733
1675316356982	2120586
1675316357022	2120552
1675316357062	2120552
1675316357103	2120546
1675316357142	2120523
1675316357182	2120500
1675316357222	2120541
1675316357263	2120631
1675316357304	2120844
1675316357343	2121063
1675316357383	2121380
1675316357423	2121563
1675316357463	2121772
1675316357504	2122059
1675316357543	2122249
1675316357583	2122161
1675316357623	2121732
1675316357664	2121194
1675316357705	2120949
1675316357744	2120903
1675316357784	2121008
1675316357824	2121113
1675316357864	2121299
1675316357905	2121401
1675316357944	2121519
1675316357984	2121585
1675316358024	2121714
1675316358064	2121863
1675316358106	2122015
1675316358145	2122184
1675316358185	2122352
1675316358225	2122533
1675316358265	2122635
1675316358306	2122321
1675316358345	2121843
1675316358385	2121469
1675316358425	2121221
1675316358465	2121042
1675316358507	2120984
1675316358546	2120857
1675316358586	2120711
1675316358626	2120493
1675316358666	2120328
1675316358707	2120332
1675316358746	2120383
1675316358786	2120404
1675316358826	2120384
1675316358867	2120431
1675316358908	2120409
1675316358947	2119998
1675316358987	2119240
1675316359027	2118564
1675316359067	2118055
1675316359108	2117649
1675316359147	2117427
1675316359187	2117223
1675316359227	2117039
1675316359267	2116928
1675316359309	2116843
1675316359348	2116832
1675316359388	2116863
1675316359428	2116899
1675316359468	2116920
1675316359509	2117008
1675316359548	2117099
1675316359588	2117024
1675316359628	2116660
1675316359668	2115997
1675316359710	2115517
1675316359749	2115183
1675316359789	2114964
1675316359829	2114794
1675316359869	2114663
1675316359910	2114539
1675316359949	2114492
1675316359989	2114536
1675316360029	2114599
1675316360070	2114677
1675316360111	2114903
1675316360150	2115136
1675316360190	2115434
1675316360230	2115680
1675316360270	2115877
1675316360311	2115670
1675316360350	2115098
1675316360390	2114560
1675316360431	2114268
1675316360471	2114192
1675316360512	2114218
1675316360551	2114211
1675316360591	2114206
1675316360631	2114229
1675316360671	2114312
1675316360712	2114450
1675316360751	2114616
1675316360792	2114780
1675316360832	2114984
1675316360872	2115232
1675316360914	2115471
1675316360953	2115729
1675316360993	2116021
1675316361033	2116120
1675316361073	2115751
1675316361114	2115266
1675316361153	2114922
1675316361193	2114733
1675316361233	2114663
1675316361273	2114688
1675316361314	2114624
1675316361353	2114569
1675316361394	2114537
1675316361434	2114664
1675316361474	2114846
1675316361515	2115047
1675316361554	2115245
1675316361594	2115495
1675316361634	2115785
1675316361674	2116000
1675316361715	2116295
1675316361755	2116609
1675316361794	2116685
1675316361835	2116300
1675316361875	2115837
1675316361916	2115575
1675316361955	2115457
1675316361995	2115457
1675316362035	2115500
1675316362075	2115523
1675316362116	2115551
1675316362155	2115584
1675316362195	2115687
1675316362236	2115813
1675316362276	2115983
1675316362317	2116198
1675316362356	2116433
1675316362396	2116647
1675316362436	2116830
1675316362476	2116999
1675316362517	2117068
1675316362556	2116940
1675316362596	2116610
1675316362636	2116294
1675316362677	2116176
1675316362718	2116147
1675316362757	2116126
1675316362797	2116049
1675316362837	2115940
1675316362877	2115908
1675316362918	2115973
1675316362957	2116063
1675316362997	2116193
1675316363037	2116351
1675316363078	2116508
1675316363118	2116711
1675316363158	2116847
1675316363198	2116980
1675316363238	2117031
1675316363278	2116887
1675316363319	2116404
1675316363358	2115892
1675316363398	2115572
1675316363438	2115308
1675316363478	2115135
1675316363519	2114959
1675316363559	2114771
1675316363599	2114626
1675316363639	2114581
1675316363679	2114616
1675316363720	2114689
1675316363759	2114779
1675316363799	2114897
1675316363839	2115034
1675316363879	2115204
1675316363920	2115376
1675316363959	2115533
1675316364000	2115173
1675316364040	2114600
1675316364080	2114127
1675316364121	2113830
1675316364160	2113642
1675316364200	2113555
1675316364240	2113464
1675316364280	2113396
1675316364321	2113351
1675316364360	2113401
1675316364401	2113493
1675316364441	2113616
1675316364481	2113772
1675316364522	2113995
1675316364561	2114206
1675316364601	2114466
1675316364641	2114740
1675316364681	2114694
1675316364722	2114247
1675316364762	2113702
1675316364801	2113378
1675316364841	2113091
1675316364882	2112982
1675316364923	2112905
1675316364962	2112803
1675316365002	2112748
1675316365042	2112816
1675316365082	2112893
1675316365123	2112993
1675316365162	2113118
1675316365202	2113281
1675316365243	2113489
1675316365283	2113712
1675316365324	2113955
1675316365363	2114083
1675316365403	2113733
1675316365443	2113088
1675316365483	2112485
1675316365524	2112070
1675316365563	2111743
1675316365604	2111513
1675316365644	2111260
1675316365684	2111062
1675316365725	2110904
1675316365764	2110825
1675316365804	2110815
1675316365844	2110845
1675316365884	2110948
1675316365925	2111111
1675316365964	2111227
1675316366004	2111361
1675316366045	2111514
1675316366085	2111514
1675316366126	2111015
1675316366165	2110204
1675316366205	2109571
1675316366245	2109016
1675316366285	2108546
1675316366326	2108086
1675316366365	2107800
1675316366405	2107527
1675316366446	2107340
1675316366486	2107282
1675316366527	2107253
1675316366566	2107285
1675316366606	2107401
1675316366646	2107490
1675316366686	2107670
1675316366727	2107831
1675316366766	2108003
1675316366807	2107708
1675316366847	2106989
1675316366887	2106299
1675316366928	2105823
1675316366967	2105429
1675316367007	2105217
1675316367047	2105057
1675316367087	2104858
1675316367128	2104700
1675316367167	2104655
1675316367207	2104682
1675316367247	2104813
1675316367288	2104961
1675316367329	2105140
1675316367368	2105396
1675316367408	2105639
1675316367448	2105884
1675316367488	2106047
1675316367529	2105594
1675316367568	2104835
1675316367608	2104214
1675316367649	2103659
1675316367689	2103261
1675316367730	2103025
1675316367769	2102801
1675316367809	2102641
1675316367849	2102485
1675316367889	2102455
1675316367930	2102567
1675316367969	2102679
1675316368009	2102867
1675316368049	2103070
1675316368089	2103295
1675316368131	2103548
1675316368170	2103878
1675316368210	2104096
1675316368250	2103624
1675316368290	2102934
1675316368331	2102365
1675316368370	2101918
1675316368410	2101594
1675316368450	2101430
1675316368491	2101293
1675316368532	2101168
1675316368571	2101148
1675316368611	2101179
1675316368651	2101346
1675316368691	2101587
1675316368732	2101839
1675316368771	2102172
1675316368811	2102525
1675316368852	2102872
1675316368891	2103255
1675316368933	2103353
1675316368972	2102967
1675316369012	2102488
1675316369052	2102159
1675316369092	2101983
1675316369133	2101888
1675316369172	2101897
1675316369212	2101915
1675316369252	2101956
1675316369293	2102064
1675316369334	2102276
1675316369373	2102538
1675316369413	2102887
1675316369453	2103247
1675316369493	2103646
1675316369534	2104057
1675316369573	2104528
1675316369613	2104708
1675316369653	2104440
1675316369694	2104042
1675316369735	2103798
1675316369774	2103705
1675316369814	2103726
1675316369854	2103844
1675316369894	2103924
1675316369935	2104085
1675316369974	2104277
1675316370014	2104530
1675316370055	2104844
1675316370095	2105180
1675316370136	2105536
1675316370175	2105926
1675316370215	2106352
1675316370255	2106767
1675316370295	2107204
1675316370336	2107481
1675316370375	2107318
1675316370415	2107030
1675316370455	2106852
1675316370495	2106839
1675316370537	2106932
1675316370576	2107059
1675316370616	2107191
1675316370656	2107339
1675316370696	2107542
1675316370737	2107787
1675316370776	2108248
1675316370816	2108739
1675316370856	2109132
1675316370896	2109516
1675316370937	2109931
1675316370977	2110307
1675316371017	2110718
1675316371057	2111114
1675316371097	2111164
1675316371138	2110968
1675316371177	2110833
1675316371217	2110833
1675316371257	2110915
1675316371297	2111048
1675316371338	2111232
1675316371378	2111385
1675316371418	2111550
