#	deviceModel: SM-R900	deviceOs: 11
1675316649560	2552137
1675316649601	2384175
1675316649641	2384046
1675316649681	2383994
1675316649721	2383914
1675316649761	2383944
1675316649802	2043306
1675316649841	2043242
1675316649881	2043149
1675316649922	2043076
1675316649962	2057784
1675316650003	2057789
1675316650042	2057725
1675316650082	2089476
1675316650122	2089520
1675316650162	2089569
1675316650203	2089560
1675316650243	2089640
1675316650283	2089599
1675316650323	2089069
1675316650363	2088609
1675316650404	2088281
1675316650443	2088017
1675316650483	2087780
1675316650524	2087562
1675316650564	2087414
1675316650605	2087258
1675316650644	2087079
1675316650684	2086972
1675316650724	2086905
1675316650764	2086898
1675316650805	2086911
1675316650845	2086971
1675316650885	2087005
1675316650925	2087080
1675316650965	2087160
1675316651006	2087277
1675316651045	2087338
1675316651085	2087370
1675316651125	2087135
1675316651165	2086806
1675316651206	2086522
1675316651246	2086325
1675316651286	2086154
1675316651326	2086100
1675316651366	2086028
1675316651407	2085995
1675316651446	2085922
1675316651486	2085959
1675316651526	2086134
1675316651566	2086400
1675316651608	2086721
1675316651647	2087008
1675316651687	2087270
1675316651727	2087557
1675316651767	2087899
1675316651808	2088312
1675316651847	2088515
1675316651887	2088508
1675316651928	2088390
1675316651968	2088329
1675316652009	2088242
1675316652048	2088199
1675316652088	2088215
1675316652128	2088236
1675316652168	2088218
1675316652210	2088271
1675316652248	2088346
1675316652289	2088478
1675316652329	2088608
1675316652369	2088783
1675316652410	2088863
1675316652449	2088921
1675316652489	2088914
1675316652529	2089029
1675316652569	2089229
1675316652610	2089649
1675316652650	2090094
1675316652690	2090183
1675316652730	2090293
1675316652770	2090474
1675316652811	2090626
1675316652850	2090591
1675316652890	2090622
1675316652931	2090645
1675316652971	2090755
1675316653012	2090896
1675316653051	2090942
1675316653091	2091016
1675316653131	2091077
1675316653171	2091267
1675316653212	2091462
1675316653252	2091565
1675316653292	2091699
1675316653332	2091898
1675316653372	2092079
1675316653413	2092352
1675316653452	2092503
1675316653492	2092383
1675316653533	2092089
1675316653573	2091804
1675316653614	2091578
1675316653653	2091378
1675316653693	2091279
1675316653733	2091241
1675316653773	2091229
1675316653814	2091180
1675316653853	2091133
1675316653894	2091100
1675316653934	2091176
1675316653974	2091287
1675316654015	2091491
1675316654054	2091719
1675316654094	2091896
1675316654134	2092100
1675316654174	2092324
1675316654215	2092577
1675316654255	2092787
1675316654295	2092990
1675316654335	2092871
1675316654375	2092599
1675316654416	2092334
1675316654455	2092156
1675316654495	2091971
1675316654535	2091881
1675316654575	2091891
1675316654617	2091877
1675316654656	2091880
1675316654696	2091888
1675316654736	2091977
1675316654776	2092086
1675316654817	2092198
1675316654856	2092349
1675316654896	2092511
1675316654936	2092690
1675316654977	2092863
1675316655018	2093058
1675316655057	2093295
1675316655097	2093516
1675316655137	2093730
1675316655177	2093736
1675316655218	2093507
1675316655257	2093207
1675316655297	2092978
1675316655338	2092803
1675316655378	2092715
1675316655419	2092686
1675316655458	2092599
1675316655498	2092418
1675316655538	2092351
1675316655578	2092336
1675316655619	2092363
1675316655658	2092450
1675316655698	2092533
1675316655738	2092683
1675316655779	2092795
1675316655820	2092963
1675316655859	2093149
1675316655899	2093400
1675316655939	2093656
1675316655979	2093884
1675316656020	2094011
1675316656059	2093867
1675316656099	2093550
1675316656140	2093323
1675316656180	2093265
1675316656221	2093231
1675316656260	2093255
1675316656300	2093303
1675316656340	2093325
1675316656380	2093185
1675316656421	2093013
1675316656460	2092778
1675316656500	2092611
1675316656541	2092585
1675316656581	2092626
1675316656622	2092697
1675316656661	2092714
1675316656701	2092915
1675316656741	2093273
1675316656781	2093803
1675316656822	2094430
1675316656861	2094903
1675316656902	2095258
1675316656942	2095049
1675316656982	2094766
1675316657023	2094213
1675316657062	2094084
1675316657102	2094114
1675316657142	2094138
1675316657182	2094343
1675316657223	2094313
1675316657262	2094216
1675316657302	2094120
1675316657343	2094198
1675316657383	2094471
1675316657424	2094840
1675316657463	2095224
1675316657503	2095654
1675316657543	2095842
1675316657583	2096456
1675316657624	2098008
1675316657663	2099476
1675316657704	2099330
1675316657744	2098128
1675316657784	2096399
1675316657825	2094290
1675316657864	2091386
1675316657904	2088437
1675316657944	2086599
1675316657984	2085020
1675316658025	2083637
1675316658065	2082547
1675316658105	2082194
1675316658145	2081654
1675316658185	2081416
1675316658226	2081380
1675316658265	2081238
1675316658305	2081637
1675316658346	2081741
1675316658386	2081405
1675316658427	2081272
1675316658466	2081419
1675316658506	2081533
1675316658546	2081526
1675316658586	2081450
1675316658627	2081707
1675316658666	2081784
1675316658706	2082335
1675316658746	2082644
1675316658787	2082474
1675316658828	2081915
1675316658867	2080959
1675316658907	2080181
1675316658947	2079290
1675316658987	2078872
1675316659028	2078591
1675316659067	2079133
1675316659107	2079852
1675316659147	2080482
1675316659188	2081508
1675316659229	2082071
1675316659268	2082891
1675316659308	2082854
1675316659348	2081978
1675316659388	2081282
1675316659429	2079303
1675316659468	2077077
1675316659509	2075004
1675316659549	2073581
1675316659589	2073202
1675316659630	2073421
1675316659669	2073609
1675316659709	2073654
1675316659749	2073742
1675316659789	2073813
1675316659830	2074155
1675316659869	2074842
1675316659910	2075610
1675316659950	2076349
1675316659990	2076882
1675316660031	2077188
1675316660070	2077378
1675316660110	2077384
1675316660150	2077261
1675316660190	2077130
1675316660231	2077214
1675316660271	2077331
1675316660310	2077453
1675316660351	2077644
1675316660391	2077704
1675316660432	2077887
1675316660471	2078122
1675316660511	2078565
1675316660551	2079033
1675316660591	2079512
1675316660632	2080078
1675316660671	2080812
1675316660711	2081491
1675316660752	2081778
1675316660792	2082019
1675316660833	2082225
1675316660872	2082847
1675316660912	2083588
1675316660952	2084189
1675316660992	2084673
1675316661033	2084928
1675316661072	2085026
1675316661113	2085139
1675316661153	2085172
1675316661193	2085267
1675316661234	2085383
1675316661273	2085491
1675316661313	2085585
1675316661353	2085699
1675316661393	2086021
1675316661434	2086205
1675316661474	2086167
1675316661514	2085993
1675316661554	2085699
1675316661594	2085328
1675316661635	2084763
1675316661674	2084285
1675316661714	2084101
1675316661754	2084169
1675316661794	2084548
1675316661836	2084925
1675316661874	2084696
1675316661915	2084203
1675316661955	2083850
1675316661995	2083977
1675316662036	2084444
1675316662075	2084863
1675316662115	2084882
1675316662155	2084554
1675316662195	2083990
1675316662236	2083270
1675316662275	2082404
1675316662316	2081667
1675316662356	2081331
1675316662396	2080817
1675316662437	2080546
1675316662476	2081204
1675316662516	2081687
1675316662556	2081899
1675316662596	2081811
1675316662638	2081660
1675316662677	2081191
1675316662717	2080381
1675316662757	2078924
1675316662797	2076108
1675316662838	2074916
1675316662877	2074032
1675316662917	2073258
1675316662957	2073210
1675316662997	2074575
1675316663039	2074382
1675316663078	2073059
1675316663118	2072062
1675316663158	2074039
1675316663198	2074777
1675316663239	2075467
1675316663278	2074301
1675316663318	2073324
1675316663358	2072716
1675316663399	2072578
1675316663440	2072355
1675316663479	2071351
1675316663519	2071143
1675316663559	2071209
1675316663599	2070997
1675316663640	2070653
1675316663679	2070262
1675316663719	2070175
1675316663760	2070103
1675316663800	2070190
1675316663841	2070369
1675316663880	2070370
1675316663920	2070329
1675316663960	2070305
1675316664000	2070717
1675316664041	2071041
1675316664080	2071884
1675316664120	2072463
1675316664160	2072142
1675316664200	2069795
1675316664242	2067133
1675316664281	2063954
1675316664321	2061018
1675316664361	2059499
1675316664401	2058617
1675316664442	2057211
1675316664481	2055614
1675316664521	2054191
1675316664561	2052557
1675316664602	2051230
1675316664642	2050594
1675316664682	2050360
1675316664722	2050184
1675316664762	2050060
1675316664802	2050066
1675316664843	2050156
1675316664882	2050234
1675316664922	2049954
1675316664963	2049248
1675316665003	2048434
1675316665044	2047696
1675316665083	2047265
1675316665123	2046795
1675316665163	2046369
1675316665203	2045954
1675316665244	2045569
1675316665283	2045235
1675316665324	2044959
1675316665364	2044708
1675316665404	2044563
1675316665445	2044441
1675316665484	2044366
1675316665524	2044369
1675316665564	2044226
1675316665604	2043772
1675316665645	2043232
1675316665685	2042664
1675316665725	2042173
1675316665765	2041879
1675316665805	2041678
1675316665846	2041539
1675316665885	2041502
1675316665925	2041437
1675316665965	2041394
1675316666005	2041449
1675316666047	2041563
1675316666086	2041716
1675316666126	2041917
1675316666166	2042146
1675316666206	2042343
1675316666247	2042271
1675316666286	2041988
1675316666326	2041706
1675316666366	2041512
1675316666406	2041349
1675316666447	2041260
1675316666486	2041245
1675316666527	2041285
1675316666567	2041343
1675316666607	2041470
1675316666648	2041635
1675316666687	2041853
1675316666727	2042094
1675316666767	2042369
1675316666807	2042709
1675316666848	2043163
1675316666887	2043465
1675316666927	2043526
1675316666967	2043380
1675316667008	2043334
1675316667049	2043354
1675316667088	2043447
1675316667128	2043657
1675316667168	2043887
1675316667208	2044120
1675316667249	2044350
1675316667288	2044612
1675316667328	2044896
1675316667369	2045231
1675316667409	2045602
1675316667450	2045971
1675316667489	2046390
1675316667529	2046839
1675316667569	2047190
1675316667609	2047270
1675316667650	2047326
1675316667689	2047369
1675316667729	2047470
1675316667769	2047694
1675316667810	2047971
1675316667851	2048260
1675316667890	2048601
1675316667930	2048913
1675316667970	2049265
1675316668010	2049613
1675316668051	2049985
1675316668090	2050358
1675316668130	2050759
1675316668170	2051223
1675316668210	2051665
1675316668251	2051939
1675316668291	2052077
1675316668331	2052273
1675316668371	2052517
1675316668411	2052770
1675316668452	2053048
1675316668491	2053308
1675316668531	2053556
1675316668571	2053852
1675316668611	2054142
1675316668652	2054435
1675316668692	2054755
1675316668732	2055087
1675316668772	2055475
1675316668812	2055989
1675316668853	2056513
1675316668892	2056847
1675316668932	2056969
1675316668972	2057118
1675316669012	2057298
1675316669054	2057523
1675316669093	2057786
1675316669133	2058081
1675316669173	2058365
1675316669213	2058659
1675316669254	2058963
1675316669293	2059247
1675316669333	2059613
1675316669373	2059953
1675316669413	2060335
1675316669454	2060738
1675316669494	2061101
1675316669534	2061353
1675316669574	2061545
1675316669614	2061619
1675316669655	2061776
1675316669694	2061913
1675316669734	2062085
1675316669774	2062318
1675316669814	2062531
1675316669855	2062744
1675316669895	2062998
1675316669935	2063208
1675316669975	2063472
1675316670015	2063707
1675316670056	2064020
1675316670095	2064288
1675316670135	2064472
1675316670175	2064592
1675316670215	2064651
1675316670257	2064684
1675316670296	2064722
1675316670336	2064797
1675316670376	2064881
1675316670416	2065057
1675316670457	2065222
1675316670496	2065381
1675316670536	2065526
1675316670576	2065677
1675316670617	2065843
1675316670657	2066063
1675316670697	2066258
1675316670737	2066462
1675316670777	2066635
1675316670817	2066829
1675316670858	2066983
1675316670897	2066914
1675316670937	2066847
1675316670977	2066723
1675316671017	2066667
1675316671058	2066627
1675316671098	2066642
1675316671138	2066634
1675316671178	2066602
1675316671218	2066587
1675316671259	2066582
1675316671298	2066603
1675316671338	2066619
1675316671378	2066692
1675316671418	2066749
1675316671460	2066822
1675316671499	2066923
1675316671539	2067042
1675316671579	2067116
1675316671619	2067049
1675316671660	2066850
1675316671699	2066622
1675316671739	2066411
1675316671779	2066200
1675316671819	2066083
1675316671860	2065963
1675316671900	2065863
1675316671940	2065782
1675316671980	2065661
1675316672020	2065609
1675316672061	2065542
1675316672100	2065510
1675316672140	2065481
1675316672180	2065484
1675316672220	2065461
1675316672261	2065468
1675316672301	2065496
1675316672341	2065373
1675316672381	2065076
1675316672421	2064699
1675316672462	2064468
1675316672501	2064209
1675316672541	2063869
1675316672581	2063546
1675316672621	2063272
1675316672663	2062962
1675316672702	2062697
1675316672742	2062417
1675316672782	2062149
1675316672822	2061926
1675316672863	2061758
1675316672902	2061607
1675316672942	2061475
1675316672982	2061348
1675316673023	2061221
1675316673063	2061142
1675316673103	2061075
1675316673143	2061004
1675316673183	2060705
1675316673223	2060259
1675316673264	2059695
1675316673303	2059190
1675316673343	2058697
1675316673383	2058261
1675316673423	2057881
1675316673464	2057519
1675316673504	2057152
1675316673544	2056844
1675316673584	2056517
1675316673625	2056237
1675316673666	2055908
1675316673705	2055665
1675316673745	2055554
1675316673785	2055448
1675316673825	2055373
1675316673867	2055288
1675316673906	2055257
1675316673946	2055226
1675316673986	2055086
1675316674026	2054668
1675316674067	2054149
1675316674106	2053638
1675316674146	2053108
1675316674186	2052627
1675316674227	2052242
1675316674268	2051918
1675316674307	2051566
1675316674347	2051213
1675316674387	2050993
1675316674427	2050748
1675316674468	2050581
1675316674507	2050462
1675316674547	2050317
1675316674588	2050444
1675316674627	2050375
1675316674669	2050266
1675316674708	2050016
1675316674748	2049853
1675316674788	2049908
1675316674828	2050060
1675316674869	2050300
1675316674908	2050596
1675316674948	2051148
1675316674988	2051951
1675316675028	2053144
1675316675070	2054616
1675316675109	2056138
1675316675149	2056868
1675316675189	2057232
1675316675229	2057546
1675316675270	2057867
1675316675309	2058140
1675316675349	2058405
1675316675389	2058820
1675316675430	2059289
1675316675471	2060126
1675316675510	2060758
1675316675550	2061282
1675316675590	2061858
1675316675630	2062048
1675316675671	2062148
1675316675710	2062069
1675316675750	2061850
1675316675791	2062069
1675316675831	2061997
1675316675872	2061623
1675316675911	2061287
1675316675951	2061134
1675316675991	2060910
1675316676031	2061202
1675316676072	2061134
1675316676111	2061441
1675316676152	2063317
1675316676192	2064606
1675316676232	2067830
1675316676273	2068609
1675316676312	2070216
1675316676352	2074034
1675316676392	2074427
1675316676432	2075836
1675316676473	2077069
1675316676512	2076617
1675316676552	2075819
1675316676592	2075300
1675316676633	2075205
1675316676674	2075367
1675316676713	2075637
1675316676753	2075886
1675316676793	2075906
1675316676833	2075923
1675316676874	2076224
1675316676913	2076654
